Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,86.129997,88.410004,85.500000,88.190002,83.981384,93864300
2018-01-08,88.199997,89.779999,87.239998,89.599998,85.324097,102329900
2018-01-15,90.099998,90.790001,88.010002,90.000000,85.705025,123255600
2018-01-22,90.000000,94.059998,89.739998,94.059998,89.571266,135847300
2018-01-29,95.139999,96.070000,91.500000,91.779999,87.400063,214057000
2018-02-05,90.559998,93.239998,83.830002,88.180000,83.971878,279265500
2018-02-12,88.739998,93.500000,87.800003,92.000000,87.609566,155509700
2018-02-19,91.480003,94.070000,91.010002,94.059998,89.992027,108556200
2018-02-26,94.400002,95.839996,90.860001,93.050003,89.025696,157202200
2018-03-05,92.339996,96.540001,92.260002,96.540001,92.364769,135618600
2018-03-12,96.500000,97.239998,92.830002,94.599998,90.508675,170285800
2018-03-19,93.739998,94.050003,87.080002,87.180000,83.409576,163550000
2018-03-26,90.610001,95.139999,88.400002,91.269997,87.322685,211334400
2018-04-02,90.470001,93.070000,87.510002,90.230003,86.327675,189087100
2018-04-09,91.040001,94.180000,90.620003,93.080002,89.054405,133323000
2018-04-16,94.070000,97.070000,93.419998,95.000000,90.891342,122809300
2018-04-23,95.739998,97.900002,90.279999,95.820000,91.675903,181387700
2018-04-30,96.330002,96.400002,92.449997,95.160004,91.044441,154077300
2018-05-07,95.169998,97.949997,95.050003,97.699997,93.474579,114220400
2018-05-14,97.919998,98.690002,95.830002,96.360001,92.192535,96545300
2018-05-21,97.000000,98.980003,96.320000,98.360001,94.513939,101128100
2018-05-28,97.839996,100.860001,97.230003,100.790001,96.848930,113626000
2018-06-04,101.260002,102.690002,100.379997,101.629997,97.656075,122316200
2018-06-11,101.010002,102.029999,100.070000,100.129997,96.214729,162739400
2018-06-18,100.010002,102.519997,99.419998,100.410004,96.483780,140541200
2018-06-25,100.000000,100.110001,97.260002,98.610001,94.754150,148332800
2018-07-02,98.099998,101.430000,98.000000,101.160004,97.204468,72446800
2018-07-09,101.650002,105.599998,101.099998,105.430000,101.307487,106120800
2018-07-16,105.400002,108.199997,103.889999,106.269997,102.114632,173358100
2018-07-23,106.300003,111.150002,106.129997,107.680000,103.469513,155103100
2018-07-30,107.190002,108.089996,104.760002,108.040001,103.815422,130716100
2018-08-06,108.120003,110.160004,107.559998,109.000000,104.737900,83694500
2018-08-13,109.239998,109.750000,106.690002,107.580002,103.373436,104689400
2018-08-20,107.510002,108.559998,105.779999,108.400002,104.562202,94198400
2018-08-27,109.269997,112.779999,108.510002,112.330002,108.353058,105653200
2018-09-03,110.849998,111.959999,107.230003,108.209999,104.378929,101483200
2018-09-10,108.839996,113.730003,108.360001,113.370003,109.356239,109098700
2018-09-17,113.690002,115.290001,111.040001,114.260002,110.214737,159580000
2018-09-24,113.029999,115.099998,112.220001,114.370003,110.320839,110093600
2018-10-01,114.750000,116.180000,110.639999,112.129997,108.160133,120208900
2018-10-08,111.660004,113.080002,104.199997,109.570000,105.690773,228861900
2018-10-15,108.910004,111.809998,106.949997,108.660004,104.813004,155518200
2018-10-22,109.320000,110.540001,101.589996,106.959999,103.173180,251383700
2018-10-29,108.110001,108.699997,100.110001,106.160004,102.401505,242639700
2018-11-05,106.370003,112.239998,105.900002,109.570000,105.690773,147847300
2018-11-12,109.419998,109.959999,103.910004,108.290001,104.456085,180498800
2018-11-19,108.269997,108.559998,99.349998,103.070000,99.850410,150780100
2018-11-26,104.790001,111.330002,104.580002,110.889999,107.426140,170038000
2018-12-03,113.000000,113.419998,104.300003,104.820000,101.545746,174082100
2018-12-10,104.800003,111.269997,103.889999,106.029999,102.717941,197742900
2018-12-17,105.410004,106.879997,97.459999,98.230003,95.161598,356051000
2018-12-24,97.680000,102.410004,93.959999,100.389999,97.254120,183264800
2018-12-31,101.290001,102.400002,100.440002,101.570000,98.397255,33173800
