peaks_diff,period,oxigen_per_lit
417.119047619,1.97759885187,0.766093645485
186.0,9.95066309541,2.66540301003
273.0,2.44103246128,1.43829431438
328.333333333,2.41970231984,1.57414715719
296.666666667,2.58105977433,1.52614715719
311.666666667,2.41399215807,1.55817391304
364.866666667,2.76026916794,1.39244147157
403.466666667,2.76054832369,1.59195150502
352.666666667,2.43023723828,1.74719899666
382.5,2.50201900403,1.67838628763
447.333333333,2.49814000458,1.95615886288
452.333333333,2.58582828309,1.86503010033
451.5,2.47982000403,2.09099498328
493.3,2.5786905911,2.02214381271
489.833333333,2.44814548333,2.31487625418
521.266666667,2.5506707108,2.37668227425
530.8,2.89696359786,2.16903010033
516.6,2.92236301679,2.25886956522
539.566666667,2.59989981138,2.83938963211
533.4,2.56126955964,2.49039966555
557.833333333,2.52305411298,2.79474916388
519.166666667,2.49254907811,3.09788628763
524.833333333,2.35981521969,3.29392140468
562.428571429,2.26358104254,3.31079598662
567.452380952,2.13313992499,3.84886956522
576.857142857,2.09143251269,3.85097658863
553.571428571,2.10810582717,3.85689632107
586.714285714,2.07536536697,3.98078929766
562.0,1.8483113863,4.61781270903
560.788888889,1.65528380509,5.36295652174
592.622222222,1.5676338476,5.34972575251
594.344444444,1.54600972184,6.18023244147
595.1,1.48494608673,6.24140133779
631.727272727,1.37090487442,6.41905351171
624.727272727,1.34349200976,7.18418561873
638.181818182,1.33213108534,7.18043478261
586.636363636,1.3294026319,7.30641471572
524.583333333,1.29441282328,7.72860200669
494.840659341,1.07023006219,8.29467558528
471.6,0.997486650971,9.08726086957
506.141025641,0.983778740678,9.77113712375
554.366666667,1.47666968972,5.53368227425
570.222222222,1.56615639087,6.0633277592
580.0,1.51162435477,6.65513712375
592.263636364,1.48526650367,6.5467090301
583.0,1.49259161278,6.71245652174
326.785714286,1.28487145234,1.38351337793
287.682539683,1.49358904137,3.38193478261
385.0,1.48836364273,3.15302508361
343.4,1.49324776243,3.34997491639
475.0,1.48528979555,3.32183946488
546.4,1.48062592122,4.35635117057
462.425,1.48450854912,4.32979431438
452.9,1.46754739838,4.53206187291
343.384615385,1.13830500497,4.91799498328
423.787878788,1.49842185155,3.84566722408
473.8,1.45977929212,4.42224080268
449.363636364,1.37628682708,4.34410869565
476.6,1.48324983792,4.68232441472
141.8,3.70908788657,4.3321638796
547.3,1.50258045368,4.23913210702
543.244444444,1.53519823303,4.19596488294
493.118181818,1.43743160253,4.58960367893
652.125,1.2258355917,0.00200668896321
337.361111111,1.65450720964,0.00200668896321
542.25,1.67417598336,0.00401337792642
447.5,2.06114768211,3.2153361204
338.0,2.48697720723,2.85182943144
650.4,3.30089556606,3.32977926421
367.933333333,2.52961868252,3.01320568562
459.333333333,2.4964891549,2.88874080268
389.666666667,2.49290579497,2.89914381271
448.833333333,2.51818052979,2.74587458194
463.166666667,2.50961596448,3.08100501672
538.0,2.4566076597,3.02969732441
614.738095238,2.50250897118,3.01245986622
629.761904762,0.731090261186,3.60011992165
734.666666667,1.10094839545,2.24004013378
353.4,2.91397809104,1.32543311037
415.766666667,2.64335154456,1.65757859532
517.0,2.97730317804,1.911409699
718.75,3.31346996458,1.97467725753
794.35,3.2928485403,2.19985117057
700.333333333,2.89924632884,2.46469565217
644.5,2.65545247849,2.51443645485
624.0,2.44086293761,2.27668896321
545.0,2.89890955218,1.99844481605
700.0,2.68217369131,2.44630267559
677.166666667,2.54454253173,2.22392809365
640.0,2.79802945829,2.23308361204
527.0,6.54439926606,1.52322073579
713.4,2.99090879646,2.09343812709
618.083333333,1.25116337668,4.28820735786
625.170833333,1.0736805139,7.17491973244
629.35,0.963551295092,7.76697658863
611.125,0.940521930642,7.54358026756
633.125,0.937259508206,7.62798494983
630.352941176,0.890761389062,8.20046655518
559.8,2.65141059056,0.720150501672
222.166666667,5.12322928881,1.53700668896
380.0,4.7978365965,1.58212374582
307.833333333,2.62359186457,1.82794983278
275.457142857,2.55359930825,2.34368729097
265.866666667,2.57881964623,1.80666220736
280.0,2.3686982382,1.66772408027
288.238095238,2.50631636298,1.66581270903
516.875,2.08750283123,1.95144481605
322.142857143,2.28058984854,1.7855367893
340.142857143,2.00647100682,2.15561204013
338.833333333,2.30943258683,2.05327424749
401.333333333,1.6657774285,2.78542140468
485.857142857,1.67176653226,2.70733110368
431.206349206,1.7130067065,2.94636789298
408.166666667,1.89185728958,2.86295150502
482.25,1.65226495615,3.25931772575
422.25,1.99430771909,3.30000668896
413.25,2.01283433407,3.51680434783
515.125,1.75406046161,3.63140468227
568.694444444,1.70121179125,3.547409699
509.138888889,1.68633905551,4.07542307692
500.111111111,1.65038226576,4.14370568562
597.555555556,1.64264435163,4.36749665552
589.430555556,1.64630426739,4.22576254181
625.666666667,1.67028464057,4.2867909699
647.933333333,1.62967535193,4.60789966555
601.711111111,1.59943893244,4.93574414716
675.955555556,1.60220465547,5.09475083612
725.222222222,1.61150761828,4.9074180602
777.333333333,1.61708927313,5.15331270903
622.066666667,1.59220073531,5.63206187291
542.0,2.78615577661,5.88338795987
682.0,1.22476308181,6.24585953177
-189.8,3.95733781388,6.53753177258
576.980769231,1.20682665399,6.59944816054
652.230769231,1.15291757797,7.39001170569
608.291208791,1.15198275108,7.35871070234
634.230769231,1.15346551557,7.38258862876
542.82967033,1.13942613329,7.74894481605
637.153846154,1.13227463392,8.00434949833
634.175824176,1.12572969389,8.19604347826
642.203296703,1.12900550599,8.1982826087
627.928571429,1.11691604889,8.30113043478
666.909090909,1.20970364202,4.11010200669
636.3125,0.973631510798,7.76773411371
621.6875,0.908078751882,7.87382107023
623.272058824,0.904675385212,7.93276086957
632.727941176,0.92129610804,7.96480936455
294.428571429,2.0659717437,2.56868227425
433.3,2.65806306699,2.05931270903
471.428571429,2.18918856267,2.48902842809
543.125,1.8172027142,3.53780434783
529.714285714,2.04859820906,3.1020819398
565.666666667,1.73012286204,4.12177591973
600.222222222,1.60979492236,4.15842140468
627.5,1.57158388731,4.20054180602
644.2,1.49226326705,4.9224632107
652.2,1.462174616,4.89768561873
696.572727273,1.41071837811,5.60887959866
699.818181818,1.39119537109,5.30116053512
681.309090909,1.40042018851,5.64686622074
737.545454545,1.36616529589,6.01137959866
729.181818182,1.3543435095,5.7225451505
737.0,1.36220249873,5.78030602007
1071.0,9.58555528626,0.545317725753
758.757142857,0.689282162838,3.42353177258
580.75,2.71187090101,2.18185618729
543.733333333,2.70377158658,1.82465719064
633.933333333,2.85854209282,2.19292976589
710.5,2.41900112362,2.50460869565
779.833333333,2.3778885467,2.81795317726
760.5,2.32276917198,3.13559197324
785.69047619,2.35774419953,2.92180434783
857.5,2.61102162877,2.95300668896
791.333333333,2.4824143149,2.87464046823
817.142857143,2.08339785554,3.2614916388
826.619047619,2.28308001862,2.59240133779
807.571428571,2.35520268439,3.14865551839
742.19047619,2.22891294764,2.95767391304
772.714285714,2.13517867218,3.07780936455
797.476190476,2.34371346681,2.88886287625
549.222222222,1.5440600659,3.18895986622
615.233333333,1.33838832141,5.59585451505
596.636363636,1.37559200304,4.9149632107
584.763636364,1.38373768585,4.76811538462
561.909090909,1.38068375031,5.17998160535
597.5,1.3726477398,5.2871270903
573.666666667,3.77040453328,1.52241638796
354.333333333,5.84746063104,1.98864882943
417.848484848,0.27605995832,2.82049331104
403.466666667,1.46340122302,2.89295317726
560.2,1.45527794555,3.50796655518
538.3,1.46572160976,4.20442140468
600.436363636,1.46540967971,4.6447826087
635.9,1.49737220629,4.68966220736
761.975,1.56272881735,4.64728762542
690.6,1.47726125484,4.80559866221
810.7,1.47509186387,4.87105016722
376.777777778,1.50420430438,4.40540635452
463.0,1.49079166527,4.57373076923
533.222222222,1.50307424385,4.54207525084
570.0,1.48207376115,4.70202508361
569.958333333,1.75641021429,4.19495986622
638.111111111,1.5676898184,4.67746989967
623.919191919,1.50063816136,5.5852826087
373.0,14.8989190771,0.012
706.515151515,1.03430985678,2.36318227425
227.0,7.47028747051,0.725453177258
455.0,6.5928412199,0.605819397993
